"distrito","codigo_sie","unidad_educativa","x","y","estado","nivel_educativo","luz_electrica","agua_potable","alcantarillado","pozo_septico","baños","lava_manos","internet","laboratorios","sala_computacion","turno","nombre_mañana","nombre_tarde","nombre_noche","pob","pob_mañana","pob_tarde","pob_noche"
"D-1","40730030","BRASILIA MAÑANA","589676.9062","8173503.97198","Regular","I-P","Sí","Sí","Sí","No","Sí","Sí","Sí","Sí","Sí","Mañana","BRASILIA MAÑANA","NA","NA","364","364","NA","NA"
"D-1","40730031","BRASILIA NOCHE","589676.9062","8173503.97198","Regular","P-S","Sí","Sí","Sí","No","Sí","Sí","Sí","Sí","Sí","Noche","NA","NA","BRASILIA NOCHE","200","NA","NA","200"
"D-1","40730048","TEJADA TRIANGULAR","589622.641411","8172897.89904","Regular","I-P-S","Sí","Sí","Sí","No","Sí","Sí","Sí","Sí","Sí","Mañana","TEJADA TRIANGULAR","NA","NA","559","559","NA","NA"
"D-1","40730049","VICENTE TEJADA MAÑANA","590137.360021","8173431.88431","NA","I-P","Sí","Sí","Sí","No","Sí","Sí","No","No","Sí","Mañana","VICENTE TEJADA MAÑANA","NA","NA","486","486","NA","NA"
"D-1","40730050","VICENTE TEJADA TARDE","590137.360021","8173431.88431","Regular","S","Sí","Sí","Sí","No","Sí","Sí","Sí","Sí","Sí","Tarde","NA","VICENTE TEJADA TARDE","NA","228","NA","228","NA"
"D-1","40730051","VICENTE TEJADA NOCHE","590137.360021","8173431.88431","Regular","P-S","Sí","Sí","Sí","No","Sí","Sí","Sí","Sí","Sí","Noche","NA","NA","VICENTE TEJADA NOCHE","97","NA","NA","97"
"D-1","40730003","6 DE AGOSTO","589886.318413","8172348.68683","Regular","I-P","Sí","Sí","Sí","No","Sí","Sí","No","No","Sí","Tarde","NA","6 DE AGOSTO","NA","398","NA","398","NA"
"D-1","40730004","MODESTO OMISTE","589886.318413","8172348.68683","Regular","I-P","Sí","Sí","Sí","No","Sí","Sí","No","No","Sí","Mañana","MODESTO OMISTE","NA","NA","831","831","NA","NA"
"D-1","40730005","PILOTO BOLIVIA","590223.28367","8172606.86153","Regular","P","Sí","Sí","Sí","No","Sí","Sí","No","No","Sí","Mañana","PILOTO BOLIVIA","NA","NA","766","766","NA","NA"
"D-1","40730006","ROMULO GALLEGOS","590223.28367","8172606.86153","Regular","I-P","Sí","Sí","Sí","No","Sí","Sí","No","No","Sí","Tarde","NA","ROMULO GALLEGOS","NA","468","NA","468","NA"
"D-1","40730007","ANDRES BELLO","588891.986769","8174304.90877","Regular","S","Sí","Sí","Sí","No","Sí","Sí","Sí","Sí","Sí","Tarde","NA","ANDRES BELLO","NA","534","NA","534","NA"
"D-1","40730008","HEROES DEL PACIFICO","588891.986769","8174304.90877","Regular","S","Sí","Sí","Sí","No","Sí","Sí","Sí","Sí","Sí","Mañana","HEROES DEL PACIFICO","NA","NA","1096","1096","NA","NA"
"D-1","40730009","GRAL. ARMANDO ESCOBAR URIA MAÑANA","590623.100017","8172267.53192","Regular","I-P","Sí","Sí","Sí","No","Sí","Sí","No","No","Sí","Mañana","GRAL. ARMANDO ESCOBAR URIA MAÑANA","NA","NA","485","485","NA","NA"
"D-1","40730010","GRAL. ARMANDO ESCOBAR URIA TARDE","590623.100017","8172267.53192","Regular","S","Sí","Sí","Sí","No","Sí","Sí","Sí","Sí","Sí","Tarde","NA","GRAL. ARMANDO ESCOBAR URIA TARDE","NA","412","NA","412","NA"
"D-1","40730017","6 DE JUNIO","590333.303355","8172131.22152","Regular","I","Sí","Sí","Sí","No","Sí","Sí","Sí","Sí","Sí","Mañana","6 DE JUNIO","NA","NA","286","286","NA","NA"
"D-1","40730018","NIÑO JESUS DE PRAGA","590484.94","8172474.96","Regular","I","Sí","Sí","Sí","No","Sí","Sí","Sí","Sí","Sí","Tarde","NA","NIÑO JESUS DE PRAGA","NA","272","NA","272","NA"
"D-1","40730036","MCAL. ANDRES DE SANTA CRUZ DE ALPACOMA","590738.039173","8171794.69803","Regular","I-P-S","Sí","Sí","Sí","No","Sí","Sí","Sí","Sí","Sí","Mañana","MCAL. ANDRES DE SANTA CRUZ DE ALPACOMA","NA","NA","355","355","NA","NA"
"D-1","40730011","GUIDO VILLAGOMEZ LOMA","590682.584745","8173089.221","Regular","I-P-S","Sí","Sí","Sí","No","Sí","Sí","Sí","Sí","Sí","Tarde","NA","GUIDO VILLAGOMEZ LOMA","NA","748","NA","748","NA"
"D-1","40730013","VICENTE DONOSO TORRES A","590682.584745","8173089.221","Regular","I-P","Sí","Sí","Sí","No","Sí","Sí","Sí","Sí","Sí","Mañana","VICENTE DONOSO TORRES A","NA","NA","760","760","NA","NA"
"D-1","40730014","VICENTE DONOSO TORREZ B","590682.584745","8173089.221","Regular","S","Sí","Sí","Sí","No","Sí","Sí","Sí","Sí","Sí","Mañana","VICENTE DONOSO TORREZ B","NA","NA","622","622","NA","NA"
"D-1","40730015","COLORADOS DE BOLIVIA","590299.310403","8173285.11678","Regular","I-P","Sí","Sí","Sí","No","Sí","Sí","No","No","Sí","Mañana","COLORADOS DE BOLIVIA","NA","NA","982","982","NA","NA"
"D-1","40730016","EUFRASIO IBAÑEZ RIVERO","590299.310403","8173285.11678","Regular","S","Sí","Sí","Sí","No","Sí","Sí","Sí","Sí","Sí","Tarde","NA","EUFRASIO IBAÑEZ RIVERO","NA","673","NA","673","NA"
"D-1","40730019","PUERTO DE MEJILLONES CIUDAD SATELITE","590457.950898","8172586.01565","Regular","S","Sí","Sí","Sí","No","Sí","Sí","Sí","Sí","Sí","Mañana","PUERTO DE MEJILLONES CIUDAD SATELITE","NA","NA","1010","1010","NA","NA"
"D-1","40730023","BOLIVIA MAÑANA","588320.027524","8170982.53802","Regular","S","Sí","Sí","Sí","No","Sí","Sí","Sí","Sí","Sí","Mañana","BOLIVIA MAÑANA","NA","NA","457","457","NA","NA"
"D-1","40730024","BOLIVIA TARDE","588320.027524","8170982.53802","Regular","I-P","Sí","Sí","Sí","No","Sí","Sí","No","No","Sí","Tarde","NA","BOLIVIA TARDE","NA","545","NA","545","NA"
"D-1","40730025","ROTARY CHUQUIAGO MARKA","588845.208847","8171571.13929","Regular","I-P","Sí","Sí","Sí","No","Sí","Sí","No","No","Sí","Mañana","ROTARY CHUQUIAGO MARKA","NA","NA","1036","1036","NA","NA"
"D-1","40730026","ROTARY CHUQUIAGO MARKA TARDE","588845.208847","8171571.13929","Regular","S","Sí","Sí","Sí","No","Sí","Sí","Sí","Sí","Sí","Tarde","NA","ROTARY CHUQUIAGO MARKA TARDE","NA","691","NA","691","NA"
"D-1","40730027","JUAN PABLO II DON BOSCO","589457.83","8170990.45","Bueno","I-P-S","Sí","Sí","Sí","No","Sí","Sí","Sí","Sí","Sí","Mañana","JUAN PABLO II DON BOSCO","NA","NA","830","830","NA","NA"
"D-1","40730046","LIBERTAD EN LAS AMERICAS MAÑANA","590015.036598","8171815.84246","Regular","I-P-S","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Mañana","LIBERTAD EN LAS AMERICAS MAÑANA","NA","NA","892","892","NA","NA"
"D-1","40730047","LIBERTAD EN LAS AMERICAS TARDE","590015.036598","8171815.84246","Regular","I-P-S","Sí","Sí","Sí","No","Sí","Sí","Sí","Sí","Sí","Tarde","NA","LIBERTAD EN LAS AMERICAS TARDE","NA","329","NA","329","NA"
"D-1","40730415","REINO DE BELGICA","588721.133414","8170834.54783","Regular","I-P-S","Sí","Sí","Sí","No","Sí","Sí","Sí","Sí","Sí","Mañana","REINO DE BELGICA","NA","NA","758","758","NA","NA"
"D-1","40730434","SAN ANDRES","589981.3","8171628.13","Regular","I-P-S","Sí","Sí","Sí","No","Sí","Sí","Sí","Sí","Sí","Mañana","SAN ANDRES","NA","NA","289","289","NA","NA"
"D-2","40730062","EDUARDO ABAROA MAÑANA","587091.896114","8172304.76395","Regular","I-P","Sí","Sí","Sí","No","Sí","Sí","No","Sí","Sí","Mañana","EDUARDO ABAROA MAÑANA","NA","NA","599","599","NA","NA"
"D-2","40730063","EDUARDO ABAROA TARDE","587091.896114","8172304.76395","Regular","S","Sí","Sí","Sí","No","Sí","Sí","No","Sí","Sí","Tarde","NA","EDUARDO ABAROA TARDE","NA","489","NA","489","NA"
"D-2","40730064","UNION EUROPEA A","587550.048239","8171128.51982","Regular","I-P","Sí","Sí","Sí","No","Sí","Sí","No","Sí","Sí","Mañana","UNION EUROPEA A","NA","NA","1226","1226","NA","NA"
"D-2","40730065","UNION EUROPEA B","587550.048239","8171128.51982","Regular","S","Sí","Sí","Sí","No","Sí","Sí","No","Sí","Sí","Tarde","NA","UNION EUROPEA B","NA","853","NA","853","NA"
